usage_start_time,service,project_id,sku_description,cost,currency
2025-07-01 10:00:00,Cloud SQL,dev-app,db-f1-micro,17.8,USD
2025-07-01 06:00:00,BigQuery,data-pipeline,Storage,16.75,USD
2025-07-01 07:00:00,Cloud Storage,data-pipeline,Standard Storage,13.7,USD
2025-07-01 10:00:00,Cloud SQL,data-pipeline,db-n1-standard-1,18.55,USD
2025-07-01 02:00:00,Cloud SQL,prod-api,db-f1-micro,7.15,USD
2025-07-01 15:00:00,BigQuery,dev-app,Storage,11.17,USD
2025-07-02 07:00:00,Cloud SQL,dev-app,db-n1-standard-1,12.91,USD
2025-07-02 07:00:00,Compute Engine,test-env,n2-highmem-2,9.99,USD
2025-07-02 12:00:00,BigQuery,test-env,Storage,15.24,USD
2025-07-02 22:00:00,Compute Engine,prod-api,n2-highmem-2,2.24,USD
2025-07-02 12:00:00,Cloud SQL,data-pipeline,db-n1-standard-1,19.63,USD
2025-07-03 17:00:00,Cloud Functions,prod-api,Invocation,9.93,USD
2025-07-03 19:00:00,Cloud Storage,data-pipeline,Coldline Storage,6.48,USD
2025-07-03 20:00:00,Cloud Storage,prod-api,Nearline Storage,12.44,USD
2025-07-03 07:00:00,Cloud Storage,prod-api,Standard Storage,0.21,USD
2025-07-03 11:00:00,Cloud Functions,test-env,Compute Time,2.97,USD
2025-07-03 21:00:00,BigQuery,prod-api,Storage,12.86,USD
2025-07-03 15:00:00,Compute Engine,data-pipeline,n1-standard-1,13.87,USD
2025-07-03 08:00:00,Cloud SQL,data-pipeline,db-n1-standard-1,2.03,USD
2025-07-04 00:00:00,Cloud SQL,prod-api,db-f1-micro,0.25,USD
2025-07-04 02:00:00,BigQuery,test-env,On-Demand Analysis,15.64,USD
2025-07-04 04:00:00,Cloud Functions,data-pipeline,Compute Time,13.74,USD
2025-07-04 19:00:00,Cloud Storage,prod-api,Coldline Storage,3.11,USD
2025-07-04 12:00:00,Cloud SQL,test-env,db-n1-standard-1,19.55,USD
2025-07-04 00:00:00,Compute Engine,prod-api,n1-standard-1,10.34,USD
2025-07-04 02:00:00,Cloud SQL,data-pipeline,db-n1-standard-1,10.25,USD
2025-07-04 13:00:00,Cloud Storage,data-pipeline,Standard Storage,11.95,USD
2025-07-04 21:00:00,Compute Engine,prod-api,n2-highmem-2,2.73,USD
2025-07-05 16:00:00,BigQuery,data-pipeline,Storage,18.67,USD
2025-07-05 03:00:00,BigQuery,dev-app,Storage,0.8,USD
2025-07-05 09:00:00,Compute Engine,dev-app,n1-standard-1,8.45,USD
2025-07-05 22:00:00,Cloud SQL,test-env,db-f1-micro,17.35,USD
2025-07-05 20:00:00,BigQuery,prod-api,On-Demand Analysis,12.59,USD
2025-07-05 07:00:00,BigQuery,prod-api,Storage,8.14,USD
2025-07-05 16:00:00,Cloud Storage,data-pipeline,Standard Storage,10.2,USD
2025-07-06 05:00:00,Cloud Functions,test-env,Compute Time,5.13,USD
2025-07-06 07:00:00,Cloud SQL,prod-api,db-n1-standard-1,16.58,USD
2025-07-06 23:00:00,Cloud Functions,prod-api,Invocation,2.77,USD
2025-07-06 15:00:00,BigQuery,test-env,On-Demand Analysis,4.63,USD
2025-07-06 21:00:00,Cloud Functions,test-env,Compute Time,14.29,USD
2025-07-06 10:00:00,Cloud SQL,data-pipeline,db-n1-standard-1,12.43,USD
2025-07-06 01:00:00,Cloud Storage,test-env,Coldline Storage,9.34,USD
2025-07-06 11:00:00,Cloud Storage,test-env,Nearline Storage,19.24,USD
2025-07-06 08:00:00,Cloud SQL,test-env,db-f1-micro,17.76,USD
2025-07-06 19:00:00,BigQuery,prod-api,Storage,12.78,USD
2025-07-06 21:00:00,Cloud Functions,data-pipeline,Invocation,17.51,USD
2025-07-07 14:00:00,Cloud Storage,dev-app,Standard Storage,16.75,USD
2025-07-07 16:00:00,BigQuery,prod-api,On-Demand Analysis,11.93,USD
2025-07-07 14:00:00,Compute Engine,test-env,n1-standard-1,18.65,USD
2025-07-07 09:00:00,Cloud SQL,prod-api,db-n1-standard-1,7.42,USD
2025-07-07 11:00:00,Cloud Storage,prod-api,Standard Storage,3.04,USD
2025-07-07 07:00:00,Compute Engine,data-pipeline,n2-highmem-2,15.25,USD
2025-07-07 02:00:00,Cloud Storage,prod-api,Coldline Storage,18.12,USD
2025-07-07 07:00:00,BigQuery,data-pipeline,On-Demand Analysis,1.51,USD
2025-07-07 16:00:00,Cloud SQL,prod-api,db-n1-standard-1,18.43,USD
2025-07-07 21:00:00,BigQuery,data-pipeline,Storage,9.81,USD
2025-07-07 20:00:00,Cloud Storage,test-env,Nearline Storage,4.68,USD
2025-07-07 01:00:00,Cloud SQL,test-env,db-f1-micro,17.03,USD
2025-07-07 00:00:00,Cloud SQL,prod-api,db-f1-micro,13.91,USD
2025-07-07 23:00:00,Cloud Storage,prod-api,Standard Storage,12.51,USD
2025-07-07 12:00:00,BigQuery,test-env,On-Demand Analysis,11.96,USD
2025-07-08 06:00:00,Compute Engine,test-env,n1-standard-1,9.98,USD
2025-07-08 15:00:00,Cloud Storage,dev-app,Coldline Storage,11.86,USD
2025-07-08 13:00:00,Cloud SQL,data-pipeline,db-n1-standard-1,5.97,USD
2025-07-08 18:00:00,Cloud Storage,dev-app,Nearline Storage,18.1,USD
2025-07-08 23:00:00,Cloud Functions,prod-api,Invocation,13.45,USD
2025-07-08 11:00:00,BigQuery,prod-api,Storage,11.77,USD
2025-07-08 12:00:00,Cloud Functions,prod-api,Invocation,0.27,USD
2025-07-08 14:00:00,Cloud Functions,data-pipeline,Compute Time,6.67,USD
2025-07-08 05:00:00,Compute Engine,prod-api,n1-standard-1,18.72,USD
2025-07-08 12:00:00,Cloud SQL,test-env,db-n1-standard-1,10.82,USD
2025-07-08 08:00:00,Cloud Storage,test-env,Nearline Storage,7.36,USD
2025-07-08 09:00:00,Cloud Functions,prod-api,Compute Time,2.89,USD
2025-07-08 16:00:00,Compute Engine,data-pipeline,n2-highmem-2,6.0,USD
2025-07-08 04:00:00,Compute Engine,test-env,e2-medium,2.57,USD
2025-07-08 03:00:00,Compute Engine,prod-api,n1-standard-1,11.85,USD
2025-07-09 02:00:00,Cloud Storage,data-pipeline,Standard Storage,0.31,USD
2025-07-09 14:00:00,Cloud Functions,data-pipeline,Invocation,10.28,USD
2025-07-09 09:00:00,BigQuery,data-pipeline,Storage,1.8,USD
2025-07-09 18:00:00,BigQuery,dev-app,Storage,0.04,USD
2025-07-09 04:00:00,Cloud SQL,dev-app,db-n1-standard-1,9.51,USD
2025-07-09 11:00:00,Cloud SQL,data-pipeline,db-n1-standard-1,7.96,USD
2025-07-09 01:00:00,Cloud Storage,test-env,Standard Storage,3.48,USD
2025-07-09 09:00:00,Cloud SQL,prod-api,db-n1-standard-1,0.15,USD
2025-07-09 15:00:00,Cloud Storage,dev-app,Nearline Storage,8.95,USD
2025-07-10 00:00:00,Cloud Functions,data-pipeline,Compute Time,10.09,USD
2025-07-10 21:00:00,Compute Engine,prod-api,n2-highmem-2,7.1,USD
2025-07-10 19:00:00,Compute Engine,dev-app,e2-medium,0.2,USD
2025-07-10 14:00:00,Cloud Functions,prod-api,Compute Time,7.71,USD
2025-07-10 18:00:00,Cloud Storage,prod-api,Nearline Storage,10.71,USD
2025-07-11 18:00:00,Cloud Storage,data-pipeline,Nearline Storage,13.05,USD
2025-07-11 06:00:00,BigQuery,data-pipeline,Storage,8.02,USD
2025-07-11 22:00:00,Cloud Storage,dev-app,Nearline Storage,9.16,USD
2025-07-11 12:00:00,Cloud Storage,prod-api,Standard Storage,12.67,USD
2025-07-11 21:00:00,Cloud Functions,test-env,Invocation,8.49,USD
2025-07-11 15:00:00,Compute Engine,test-env,n1-standard-1,1.82,USD
2025-07-11 23:00:00,Cloud Functions,prod-api,Invocation,15.92,USD
2025-07-11 14:00:00,Compute Engine,test-env,n2-highmem-2,18.83,USD
2025-07-11 06:00:00,BigQuery,dev-app,Storage,11.73,USD
2025-07-11 18:00:00,Compute Engine,dev-app,e2-medium,17.74,USD
2025-07-11 22:00:00,Compute Engine,prod-api,n1-standard-1,9.83,USD
2025-07-11 11:00:00,BigQuery,data-pipeline,Storage,16.96,USD
2025-07-11 13:00:00,Cloud SQL,data-pipeline,db-n1-standard-1,6.41,USD
2025-07-12 17:00:00,Cloud SQL,prod-api,db-n1-standard-1,2.07,USD
2025-07-12 14:00:00,Compute Engine,prod-api,e2-medium,8.78,USD
2025-07-12 22:00:00,Cloud Functions,prod-api,Compute Time,12.72,USD
2025-07-12 18:00:00,Cloud Storage,dev-app,Nearline Storage,17.97,USD
2025-07-12 05:00:00,Cloud Storage,data-pipeline,Nearline Storage,5.14,USD
2025-07-12 12:00:00,Cloud Functions,data-pipeline,Compute Time,9.01,USD
2025-07-13 23:00:00,BigQuery,test-env,Storage,8.75,USD
2025-07-13 13:00:00,Compute Engine,prod-api,e2-medium,4.45,USD
2025-07-13 22:00:00,Cloud SQL,data-pipeline,db-f1-micro,18.67,USD
2025-07-13 19:00:00,Compute Engine,data-pipeline,n1-standard-1,18.08,USD
2025-07-13 03:00:00,Cloud Storage,dev-app,Nearline Storage,5.72,USD
2025-07-13 06:00:00,Cloud Functions,data-pipeline,Invocation,2.99,USD
2025-07-14 09:00:00,BigQuery,data-pipeline,Storage,10.48,USD
2025-07-14 15:00:00,Cloud Storage,dev-app,Standard Storage,5.24,USD
2025-07-14 00:00:00,Cloud Functions,prod-api,Compute Time,7.28,USD
2025-07-14 06:00:00,Cloud Functions,data-pipeline,Compute Time,6.7,USD
2025-07-14 22:00:00,Cloud Storage,data-pipeline,Nearline Storage,8.5,USD
2025-07-14 05:00:00,BigQuery,test-env,On-Demand Analysis,5.89,USD
2025-07-15 01:00:00,Compute Engine,test-env,e2-medium,19.29,USD
2025-07-15 11:00:00,Compute Engine,dev-app,n1-standard-1,1.89,USD
2025-07-15 17:00:00,Cloud SQL,prod-api,db-f1-micro,14.88,USD
2025-07-15 08:00:00,Cloud SQL,prod-api,db-f1-micro,9.09,USD
2025-07-15 02:00:00,Cloud SQL,test-env,db-f1-micro,19.76,USD
2025-07-15 19:00:00,Cloud SQL,prod-api,db-n1-standard-1,12.43,USD
2025-07-15 13:00:00,Cloud Storage,test-env,Standard Storage,3.19,USD
2025-07-15 22:00:00,Cloud Functions,dev-app,Invocation,17.43,USD
2025-07-15 01:00:00,Cloud Functions,dev-app,Compute Time,14.99,USD
2025-07-15 18:00:00,Cloud SQL,test-env,db-n1-standard-1,8.36,USD
2025-07-15 04:00:00,Compute Engine,test-env,n1-standard-1,9.47,USD
2025-07-16 00:00:00,Cloud SQL,test-env,db-n1-standard-1,17.17,USD
2025-07-16 04:00:00,Cloud Storage,test-env,Coldline Storage,2.25,USD
2025-07-16 14:00:00,BigQuery,data-pipeline,Storage,1.75,USD
2025-07-16 13:00:00,Cloud Functions,test-env,Compute Time,6.0,USD
2025-07-16 07:00:00,Cloud SQL,dev-app,db-f1-micro,7.15,USD
2025-07-16 14:00:00,Cloud Functions,test-env,Invocation,5.26,USD
2025-07-17 01:00:00,Cloud Functions,dev-app,Compute Time,9.63,USD
2025-07-17 16:00:00,BigQuery,data-pipeline,On-Demand Analysis,16.86,USD
2025-07-17 06:00:00,Compute Engine,dev-app,n2-highmem-2,2.12,USD
2025-07-17 00:00:00,Cloud SQL,prod-api,db-n1-standard-1,1.29,USD
2025-07-17 02:00:00,Cloud Storage,data-pipeline,Nearline Storage,3.83,USD
2025-07-17 13:00:00,Cloud Storage,prod-api,Nearline Storage,6.01,USD
2025-07-17 08:00:00,BigQuery,dev-app,On-Demand Analysis,7.86,USD
2025-07-17 19:00:00,BigQuery,dev-app,Storage,16.08,USD
2025-07-18 19:00:00,BigQuery,test-env,Storage,5.54,USD
2025-07-18 14:00:00,BigQuery,dev-app,On-Demand Analysis,9.77,USD
2025-07-18 14:00:00,Cloud Functions,prod-api,Invocation,16.77,USD
2025-07-18 12:00:00,Compute Engine,prod-api,n1-standard-1,10.03,USD
2025-07-18 11:00:00,Cloud Functions,prod-api,Compute Time,18.03,USD
2025-07-18 08:00:00,Cloud Functions,prod-api,Compute Time,12.7,USD
2025-07-18 20:00:00,Cloud SQL,dev-app,db-n1-standard-1,4.36,USD
2025-07-19 09:00:00,Compute Engine,prod-api,n1-standard-1,3.91,USD
2025-07-19 18:00:00,Compute Engine,test-env,e2-medium,12.3,USD
2025-07-19 00:00:00,Cloud SQL,dev-app,db-n1-standard-1,15.7,USD
2025-07-19 11:00:00,Cloud Storage,test-env,Coldline Storage,4.2,USD
2025-07-19 19:00:00,Cloud Functions,prod-api,Compute Time,17.94,USD
2025-07-19 10:00:00,Cloud Storage,test-env,Standard Storage,1.89,USD
2025-07-20 09:00:00,Cloud Functions,data-pipeline,Compute Time,7.09,USD
2025-07-20 18:00:00,BigQuery,prod-api,On-Demand Analysis,19.49,USD
2025-07-20 12:00:00,BigQuery,prod-api,Storage,9.58,USD
2025-07-20 22:00:00,Cloud SQL,dev-app,db-n1-standard-1,7.79,USD
2025-07-20 15:00:00,Cloud Functions,test-env,Compute Time,4.23,USD
2025-07-20 16:00:00,Cloud Storage,prod-api,Coldline Storage,11.63,USD
2025-07-20 14:00:00,Compute Engine,test-env,n2-highmem-2,4.17,USD
2025-07-20 06:00:00,BigQuery,prod-api,On-Demand Analysis,12.43,USD
2025-07-20 07:00:00,Cloud Storage,dev-app,Coldline Storage,13.07,USD
2025-07-20 15:00:00,Cloud Storage,data-pipeline,Nearline Storage,9.31,USD
2025-07-21 23:00:00,Cloud SQL,prod-api,db-n1-standard-1,12.42,USD
2025-07-21 19:00:00,BigQuery,prod-api,Storage,8.53,USD
2025-07-21 09:00:00,BigQuery,data-pipeline,Storage,12.39,USD
2025-07-21 16:00:00,BigQuery,test-env,On-Demand Analysis,0.84,USD
2025-07-21 13:00:00,Cloud Functions,prod-api,Invocation,17.15,USD
2025-07-21 06:00:00,Cloud Functions,test-env,Compute Time,15.57,USD
2025-07-21 21:00:00,BigQuery,prod-api,Storage,8.94,USD
2025-07-21 07:00:00,Cloud SQL,data-pipeline,db-n1-standard-1,6.18,USD
2025-07-21 21:00:00,Cloud Storage,prod-api,Nearline Storage,15.73,USD
2025-07-21 04:00:00,Cloud Storage,dev-app,Coldline Storage,14.33,USD
2025-07-22 09:00:00,Cloud Functions,dev-app,Invocation,19.71,USD
2025-07-22 04:00:00,BigQuery,dev-app,On-Demand Analysis,4.62,USD
2025-07-22 11:00:00,BigQuery,test-env,Storage,9.02,USD
2025-07-22 12:00:00,BigQuery,test-env,On-Demand Analysis,12.03,USD
2025-07-22 04:00:00,BigQuery,dev-app,On-Demand Analysis,7.81,USD
2025-07-22 05:00:00,Cloud Storage,dev-app,Nearline Storage,11.11,USD
2025-07-22 01:00:00,Compute Engine,prod-api,n1-standard-1,2.32,USD
2025-07-22 21:00:00,Cloud SQL,test-env,db-f1-micro,10.83,USD
2025-07-22 18:00:00,Cloud SQL,dev-app,db-f1-micro,1.07,USD
2025-07-22 10:00:00,BigQuery,dev-app,Storage,8.04,USD
2025-07-22 15:00:00,Cloud Functions,data-pipeline,Invocation,19.0,USD
2025-07-22 03:00:00,Cloud SQL,dev-app,db-n1-standard-1,19.16,USD
2025-07-22 10:00:00,BigQuery,data-pipeline,Storage,15.7,USD
2025-07-22 00:00:00,Cloud Storage,prod-api,Standard Storage,7.65,USD
2025-07-22 02:00:00,BigQuery,dev-app,Storage,16.65,USD
2025-07-23 18:00:00,Cloud Functions,dev-app,Compute Time,18.44,USD
2025-07-23 23:00:00,Cloud Storage,prod-api,Coldline Storage,15.14,USD
2025-07-23 07:00:00,Cloud SQL,dev-app,db-n1-standard-1,3.66,USD
2025-07-23 01:00:00,Cloud Functions,dev-app,Invocation,11.96,USD
2025-07-23 14:00:00,Compute Engine,test-env,e2-medium,0.65,USD
2025-07-23 22:00:00,Cloud Storage,data-pipeline,Nearline Storage,14.8,USD
2025-07-23 16:00:00,Compute Engine,data-pipeline,n2-highmem-2,16.51,USD
2025-07-23 09:00:00,Cloud Storage,data-pipeline,Coldline Storage,9.27,USD
2025-07-23 08:00:00,Cloud Functions,prod-api,Invocation,9.41,USD
2025-07-23 22:00:00,BigQuery,prod-api,Storage,2.3,USD
2025-07-23 11:00:00,Cloud Storage,dev-app,Nearline Storage,14.91,USD
2025-07-23 15:00:00,Cloud Storage,test-env,Standard Storage,0.82,USD
2025-07-23 10:00:00,Compute Engine,test-env,n1-standard-1,9.97,USD
2025-07-23 05:00:00,Compute Engine,test-env,n1-standard-1,11.6,USD
2025-07-23 08:00:00,Cloud Functions,data-pipeline,Compute Time,11.24,USD
2025-07-24 12:00:00,Cloud Functions,prod-api,Invocation,17.43,USD
2025-07-24 10:00:00,Cloud Storage,dev-app,Coldline Storage,0.11,USD
2025-07-24 16:00:00,Cloud SQL,prod-api,db-f1-micro,0.39,USD
2025-07-24 08:00:00,Cloud Storage,dev-app,Coldline Storage,2.2,USD
2025-07-24 10:00:00,Cloud Storage,test-env,Standard Storage,0.66,USD
2025-07-24 02:00:00,Cloud Functions,prod-api,Invocation,0.96,USD
2025-07-24 09:00:00,Cloud SQL,test-env,db-n1-standard-1,17.21,USD
2025-07-24 14:00:00,Cloud Functions,data-pipeline,Compute Time,19.43,USD
2025-07-25 07:00:00,Cloud Functions,data-pipeline,Invocation,7.4,USD
2025-07-25 07:00:00,Cloud SQL,data-pipeline,db-n1-standard-1,18.93,USD
2025-07-25 05:00:00,Cloud Functions,dev-app,Compute Time,2.59,USD
2025-07-25 16:00:00,Compute Engine,test-env,n1-standard-1,17.81,USD
2025-07-25 09:00:00,Cloud Functions,dev-app,Compute Time,2.85,USD
2025-07-25 01:00:00,Cloud SQL,data-pipeline,db-f1-micro,15.52,USD
2025-07-25 23:00:00,Cloud Functions,dev-app,Invocation,10.12,USD
2025-07-25 12:00:00,Cloud Storage,test-env,Standard Storage,4.53,USD
2025-07-26 10:00:00,Compute Engine,prod-api,e2-medium,5.05,USD
2025-07-26 07:00:00,BigQuery,prod-api,Storage,15.56,USD
2025-07-26 14:00:00,Cloud Functions,prod-api,Compute Time,1.32,USD
2025-07-26 20:00:00,Compute Engine,test-env,n1-standard-1,0.56,USD
2025-07-26 15:00:00,Cloud Storage,prod-api,Standard Storage,3.04,USD
2025-07-26 15:00:00,Compute Engine,prod-api,n1-standard-1,5.28,USD
2025-07-26 07:00:00,Cloud Storage,dev-app,Standard Storage,6.73,USD
2025-07-26 04:00:00,Compute Engine,test-env,n2-highmem-2,6.81,USD
2025-07-26 20:00:00,Cloud SQL,dev-app,db-f1-micro,2.1,USD
2025-07-26 16:00:00,BigQuery,prod-api,Storage,10.6,USD
2025-07-26 04:00:00,Cloud Storage,data-pipeline,Nearline Storage,0.62,USD
2025-07-26 03:00:00,Cloud Functions,test-env,Compute Time,2.29,USD
2025-07-26 03:00:00,Cloud Storage,data-pipeline,Nearline Storage,3.17,USD
2025-07-26 01:00:00,Cloud Storage,test-env,Nearline Storage,9.88,USD
2025-07-26 22:00:00,Cloud Storage,prod-api,Nearline Storage,13.32,USD
2025-07-27 11:00:00,Compute Engine,dev-app,n2-highmem-2,13.18,USD
2025-07-27 09:00:00,BigQuery,prod-api,Storage,19.74,USD
2025-07-27 12:00:00,Cloud Functions,prod-api,Invocation,1.23,USD
2025-07-27 00:00:00,Compute Engine,test-env,e2-medium,2.68,USD
2025-07-27 11:00:00,Cloud Storage,test-env,Nearline Storage,16.61,USD
2025-07-27 23:00:00,Compute Engine,data-pipeline,n1-standard-1,6.87,USD
2025-07-27 14:00:00,Cloud Functions,prod-api,Invocation,13.06,USD
2025-07-27 02:00:00,Cloud Functions,test-env,Invocation,8.08,USD
2025-07-27 20:00:00,BigQuery,prod-api,On-Demand Analysis,10.39,USD
2025-07-27 21:00:00,Cloud Functions,prod-api,Invocation,6.21,USD
2025-07-27 00:00:00,Compute Engine,prod-api,e2-medium,12.77,USD
2025-07-27 23:00:00,Cloud Storage,prod-api,Coldline Storage,7.93,USD
2025-07-27 16:00:00,Cloud SQL,test-env,db-n1-standard-1,5.66,USD
2025-07-27 12:00:00,BigQuery,dev-app,On-Demand Analysis,2.84,USD
2025-07-28 04:00:00,Cloud Storage,prod-api,Standard Storage,5.6,USD
2025-07-28 05:00:00,BigQuery,data-pipeline,Storage,19.61,USD
2025-07-28 17:00:00,Cloud Storage,prod-api,Coldline Storage,0.14,USD
2025-07-28 05:00:00,Cloud Storage,data-pipeline,Coldline Storage,0.17,USD
2025-07-28 05:00:00,Cloud SQL,prod-api,db-f1-micro,13.76,USD
2025-07-28 18:00:00,Cloud Storage,data-pipeline,Standard Storage,8.32,USD
2025-07-28 07:00:00,Cloud Storage,dev-app,Coldline Storage,10.58,USD
2025-07-28 15:00:00,Cloud Functions,data-pipeline,Invocation,11.9,USD
2025-07-28 03:00:00,Cloud SQL,prod-api,db-f1-micro,3.84,USD
2025-07-28 01:00:00,Cloud SQL,prod-api,db-n1-standard-1,0.27,USD
2025-07-28 18:00:00,Cloud SQL,prod-api,db-n1-standard-1,15.17,USD
2025-07-28 22:00:00,BigQuery,test-env,On-Demand Analysis,6.37,USD
2025-07-28 04:00:00,Cloud SQL,test-env,db-f1-micro,4.93,USD
2025-07-28 15:00:00,BigQuery,dev-app,Storage,7.48,USD
2025-07-28 23:00:00,Compute Engine,test-env,n2-highmem-2,0.38,USD
2025-07-29 11:00:00,Cloud Functions,data-pipeline,Invocation,4.96,USD
2025-07-29 17:00:00,BigQuery,test-env,Storage,0.97,USD
2025-07-29 08:00:00,Cloud Storage,data-pipeline,Nearline Storage,10.45,USD
2025-07-29 14:00:00,Cloud Functions,test-env,Compute Time,14.14,USD
2025-07-29 04:00:00,Cloud Storage,data-pipeline,Standard Storage,17.59,USD
2025-07-29 08:00:00,Cloud SQL,dev-app,db-f1-micro,11.55,USD
2025-07-29 11:00:00,Compute Engine,dev-app,n2-highmem-2,14.07,USD
2025-07-29 19:00:00,BigQuery,data-pipeline,Storage,11.03,USD
2025-07-29 21:00:00,BigQuery,data-pipeline,Storage,13.26,USD
2025-07-29 15:00:00,Cloud Storage,test-env,Coldline Storage,11.98,USD
2025-07-30 04:00:00,Compute Engine,prod-api,n1-standard-1,4.14,USD
2025-07-30 17:00:00,Cloud Functions,dev-app,Compute Time,7.68,USD
2025-07-30 04:00:00,Cloud Functions,prod-api,Compute Time,14.5,USD
2025-07-30 07:00:00,Cloud Storage,prod-api,Standard Storage,19.49,USD
2025-07-30 16:00:00,Cloud SQL,prod-api,db-n1-standard-1,13.61,USD
2025-07-30 10:00:00,Cloud Storage,dev-app,Standard Storage,12.32,USD
2025-07-30 15:00:00,Cloud Storage,data-pipeline,Coldline Storage,10.67,USD
2025-07-30 14:00:00,BigQuery,test-env,On-Demand Analysis,3.27,USD
2025-07-31 18:00:00,Compute Engine,data-pipeline,n1-standard-1,19.6,USD
2025-07-31 17:00:00,Compute Engine,dev-app,e2-medium,16.41,USD
2025-07-31 19:00:00,BigQuery,prod-api,On-Demand Analysis,10.26,USD
2025-07-31 23:00:00,Cloud Storage,prod-api,Standard Storage,2.64,USD
2025-07-31 01:00:00,Compute Engine,dev-app,n2-highmem-2,16.92,USD
2025-07-31 06:00:00,BigQuery,prod-api,On-Demand Analysis,13.99,USD
2025-07-31 07:00:00,Cloud Storage,dev-app,Standard Storage,3.17,USD
2025-07-31 01:00:00,Cloud Storage,data-pipeline,Nearline Storage,18.01,USD
2025-07-31 23:00:00,Cloud Storage,prod-api,Coldline Storage,18.06,USD
2025-07-31 00:00:00,Compute Engine,test-env,e2-medium,16.23,USD
2025-07-31 22:00:00,Cloud Functions,data-pipeline,Invocation,16.51,USD
2025-07-31 10:00:00,Cloud SQL,prod-api,db-n1-standard-1,13.54,USD
